datetime_beginning_utc,datetime_beginning_ept,area,solar_generation_mw
6/1/2019 4:00:00 AM,6/1/2019 12:00:00 AM,RTO,-2.345
6/1/2019 5:00:00 AM,6/1/2019 1:00:00 AM,RTO,-2.299
6/1/2019 6:00:00 AM,6/1/2019 2:00:00 AM,RTO,-2.361
6/1/2019 7:00:00 AM,6/1/2019 3:00:00 AM,RTO,-2.298
6/1/2019 8:00:00 AM,6/1/2019 4:00:00 AM,RTO,-2.356
6/1/2019 9:00:00 AM,6/1/2019 5:00:00 AM,RTO,-0.796
6/1/2019 10:00:00 AM,6/1/2019 6:00:00 AM,RTO,47.353
6/1/2019 11:00:00 AM,6/1/2019 7:00:00 AM,RTO,221.134
6/1/2019 12:00:00 PM,6/1/2019 8:00:00 AM,RTO,418.856
6/1/2019 1:00:00 PM,6/1/2019 9:00:00 AM,RTO,695.999
6/1/2019 2:00:00 PM,6/1/2019 10:00:00 AM,RTO,859.646
6/1/2019 3:00:00 PM,6/1/2019 11:00:00 AM,RTO,1050.325
6/1/2019 4:00:00 PM,6/1/2019 12:00:00 PM,RTO,1119.409
6/1/2019 5:00:00 PM,6/1/2019 1:00:00 PM,RTO,1134.319
6/1/2019 6:00:00 PM,6/1/2019 2:00:00 PM,RTO,1081.309
6/1/2019 7:00:00 PM,6/1/2019 3:00:00 PM,RTO,958.852
6/1/2019 8:00:00 PM,6/1/2019 4:00:00 PM,RTO,795.567
6/1/2019 9:00:00 PM,6/1/2019 5:00:00 PM,RTO,749.711
6/1/2019 10:00:00 PM,6/1/2019 6:00:00 PM,RTO,441.804
6/1/2019 11:00:00 PM,6/1/2019 7:00:00 PM,RTO,112.690
6/2/2019 12:00:00 AM,6/1/2019 8:00:00 PM,RTO,-0.395
6/2/2019 1:00:00 AM,6/1/2019 9:00:00 PM,RTO,-2.415
6/2/2019 2:00:00 AM,6/1/2019 10:00:00 PM,RTO,-2.361
6/2/2019 3:00:00 AM,6/1/2019 11:00:00 PM,RTO,-2.293
6/2/2019 4:00:00 AM,6/2/2019 12:00:00 AM,RTO,-2.383
6/2/2019 5:00:00 AM,6/2/2019 1:00:00 AM,RTO,-2.437
6/2/2019 6:00:00 AM,6/2/2019 2:00:00 AM,RTO,-2.398
6/2/2019 7:00:00 AM,6/2/2019 3:00:00 AM,RTO,-2.249
6/2/2019 8:00:00 AM,6/2/2019 4:00:00 AM,RTO,-2.331
6/2/2019 9:00:00 AM,6/2/2019 5:00:00 AM,RTO,-0.705
6/2/2019 10:00:00 AM,6/2/2019 6:00:00 AM,RTO,87.512
6/2/2019 11:00:00 AM,6/2/2019 7:00:00 AM,RTO,424.976
6/2/2019 12:00:00 PM,6/2/2019 8:00:00 AM,RTO,806.820
6/2/2019 1:00:00 PM,6/2/2019 9:00:00 AM,RTO,1060.250
6/2/2019 2:00:00 PM,6/2/2019 10:00:00 AM,RTO,1139.998
6/2/2019 3:00:00 PM,6/2/2019 11:00:00 AM,RTO,1189.630
6/2/2019 4:00:00 PM,6/2/2019 12:00:00 PM,RTO,1178.482
