forecast_execution_date_ept,forecast_date,region,total_outages_mw,planned_outages_mw,maintenance_outages_mw,forced_outages_mw
6/1/2019 12:00:00 AM,6/1/2019 12:00:00 AM,PJM RTO,35408,10180,17332,7896
6/1/2019 12:00:00 AM,6/2/2019 12:00:00 AM,PJM RTO,34930,9973,17977,6980
6/2/2019 12:00:00 AM,6/2/2019 12:00:00 AM,PJM RTO,34108,9243,15858,9007
6/1/2019 12:00:00 AM,6/3/2019 12:00:00 AM,PJM RTO,28552,10249,12223,6080
6/2/2019 12:00:00 AM,6/3/2019 12:00:00 AM,PJM RTO,26835,9576,11719,5540
6/3/2019 12:00:00 AM,6/3/2019 12:00:00 AM,PJM RTO,28618,9069,11704,7845
6/1/2019 12:00:00 AM,6/4/2019 12:00:00 AM,PJM RTO,22399,9487,9398,3514
6/2/2019 12:00:00 AM,6/4/2019 12:00:00 AM,PJM RTO,23089,9487,10037,3565
6/3/2019 12:00:00 AM,6/4/2019 12:00:00 AM,PJM RTO,22887,8980,10047,3860
6/4/2019 12:00:00 AM,6/4/2019 12:00:00 AM,PJM RTO,24765,8947,10777,5041
6/1/2019 12:00:00 AM,6/5/2019 12:00:00 AM,PJM RTO,19571,8408,8300,2863
6/2/2019 12:00:00 AM,6/5/2019 12:00:00 AM,PJM RTO,19954,8408,8649,2897
6/3/2019 12:00:00 AM,6/5/2019 12:00:00 AM,PJM RTO,20473,8626,8659,3188
6/4/2019 12:00:00 AM,6/5/2019 12:00:00 AM,PJM RTO,21990,8626,9564,3800
6/5/2019 12:00:00 AM,6/5/2019 12:00:00 AM,PJM RTO,24828,8613,11578,4637
6/1/2019 12:00:00 AM,6/6/2019 12:00:00 AM,PJM RTO,16908,6738,7378,2792
6/2/2019 12:00:00 AM,6/6/2019 12:00:00 AM,PJM RTO,17097,6738,7533,2826
6/3/2019 12:00:00 AM,6/6/2019 12:00:00 AM,PJM RTO,17378,6731,7543,3104
6/4/2019 12:00:00 AM,6/6/2019 12:00:00 AM,PJM RTO,19925,8201,7332,4392
6/5/2019 12:00:00 AM,6/6/2019 12:00:00 AM,PJM RTO,23667,8188,10933,4546
6/6/2019 12:00:00 AM,6/6/2019 12:00:00 AM,PJM RTO,27094,7395,12565,7134
6/1/2019 12:00:00 AM,6/7/2019 12:00:00 AM,PJM RTO,13639,5483,5364,2792
6/2/2019 12:00:00 AM,6/7/2019 12:00:00 AM,PJM RTO,13664,5483,5355,2826
6/3/2019 12:00:00 AM,6/7/2019 12:00:00 AM,PJM RTO,13919,5476,5349,3094
6/4/2019 12:00:00 AM,6/7/2019 12:00:00 AM,PJM RTO,17045,6246,6535,4264
6/5/2019 12:00:00 AM,6/7/2019 12:00:00 AM,PJM RTO,21523,6933,10255,4335
6/6/2019 12:00:00 AM,6/7/2019 12:00:00 AM,PJM RTO,22110,5915,12641,3554
6/7/2019 12:00:00 AM,6/7/2019 12:00:00 AM,PJM RTO,23352,5915,13642,3795
6/2/2019 12:00:00 AM,6/8/2019 12:00:00 AM,PJM RTO,13299,5071,5482,2746
6/3/2019 12:00:00 AM,6/8/2019 12:00:00 AM,PJM RTO,13555,5064,5476,3015
6/4/2019 12:00:00 AM,6/8/2019 12:00:00 AM,PJM RTO,16290,5064,7039,4187
6/5/2019 12:00:00 AM,6/8/2019 12:00:00 AM,PJM RTO,20293,5764,10262,4267
6/6/2019 12:00:00 AM,6/8/2019 12:00:00 AM,PJM RTO,19940,5064,11713,3163
6/7/2019 12:00:00 AM,6/8/2019 12:00:00 AM,PJM RTO,22439,5064,14389,2986
6/8/2019 12:00:00 AM,6/8/2019 12:00:00 AM,PJM RTO,24220,5834,14544,3842
6/3/2019 12:00:00 AM,6/9/2019 12:00:00 AM,PJM RTO,14887,5064,6808,3015
6/4/2019 12:00:00 AM,6/9/2019 12:00:00 AM,PJM RTO,15962,5064,8011,2887
6/5/2019 12:00:00 AM,6/9/2019 12:00:00 AM,PJM RTO,17206,5064,9175,2967
6/6/2019 12:00:00 AM,6/9/2019 12:00:00 AM,PJM RTO,18333,5064,10106,3163
6/7/2019 12:00:00 AM,6/9/2019 12:00:00 AM,PJM RTO,20352,5064,12308,2980
6/8/2019 12:00:00 AM,6/9/2019 12:00:00 AM,PJM RTO,22277,5064,14201,3012
6/9/2019 12:00:00 AM,6/9/2019 12:00:00 AM,PJM RTO,22353,5429,12850,4074
6/4/2019 12:00:00 AM,6/10/2019 12:00:00 AM,PJM RTO,9918,45,7116,2757
6/5/2019 12:00:00 AM,6/10/2019 12:00:00 AM,PJM RTO,10515,45,7698,2772
6/6/2019 12:00:00 AM,6/10/2019 12:00:00 AM,PJM RTO,13392,45,10573,2774
6/7/2019 12:00:00 AM,6/10/2019 12:00:00 AM,PJM RTO,17793,0,14960,2833
6/8/2019 12:00:00 AM,6/10/2019 12:00:00 AM,PJM RTO,20785,0,17343,3442
6/9/2019 12:00:00 AM,6/10/2019 12:00:00 AM,PJM RTO,21062,0,16867,4195
6/10/2019 12:00:00 AM,6/10/2019 12:00:00 AM,PJM RTO,22477,770,15883,5824
6/5/2019 12:00:00 AM,6/11/2019 12:00:00 AM,PJM RTO,9194,45,6380,2769
6/6/2019 12:00:00 AM,6/11/2019 12:00:00 AM,PJM RTO,11806,45,8993,2768
6/7/2019 12:00:00 AM,6/11/2019 12:00:00 AM,PJM RTO,15103,0,12812,2291
6/8/2019 12:00:00 AM,6/11/2019 12:00:00 AM,PJM RTO,18537,0,15496,3041
6/9/2019 12:00:00 AM,6/11/2019 12:00:00 AM,PJM RTO,19116,0,15889,3227
