datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da
6/1/2018 4:00:00 AM,6/1/2018 12:00:00 AM,1,PJM,,,ZONE,,19.583333,19.592010,0.000000,0.008677,22.740000,22.508851,-0.209312,-0.021837
6/1/2018 5:00:00 AM,6/1/2018 1:00:00 AM,1,PJM,,,ZONE,,19.640833,19.651624,0.000000,0.010791,20.340000,20.235280,-0.081750,-0.022970
6/1/2018 6:00:00 AM,6/1/2018 2:00:00 AM,1,PJM,,,ZONE,,18.746667,18.756331,0.000000,0.009664,19.230000,19.096447,-0.100270,-0.033283
6/1/2018 7:00:00 AM,6/1/2018 3:00:00 AM,1,PJM,,,ZONE,,17.512500,17.521583,0.000000,0.009083,18.750000,18.621263,-0.105012,-0.023725
6/1/2018 8:00:00 AM,6/1/2018 4:00:00 AM,1,PJM,,,ZONE,,17.273333,17.281782,0.000000,0.008449,18.670000,18.559338,-0.086773,-0.023889
6/1/2018 9:00:00 AM,6/1/2018 5:00:00 AM,1,PJM,,,ZONE,,18.828333,18.838891,0.000000,0.010557,20.400000,20.103994,-0.271588,-0.024418
6/1/2018 10:00:00 AM,6/1/2018 6:00:00 AM,1,PJM,,,ZONE,,20.288333,20.299081,0.000001,0.010747,23.550000,23.177626,-0.344225,-0.028149
6/1/2018 11:00:00 AM,6/1/2018 7:00:00 AM,1,PJM,,,ZONE,,27.330833,27.345421,0.000825,0.013762,26.810000,26.420607,-0.364358,-0.025035
6/1/2018 12:00:00 PM,6/1/2018 8:00:00 AM,1,PJM,,,ZONE,,24.222500,24.229610,-0.003083,0.010193,31.250000,30.656938,-0.563289,-0.029773
6/1/2018 1:00:00 PM,6/1/2018 9:00:00 AM,1,PJM,,,ZONE,,27.700833,27.712896,-0.000311,0.012374,35.760000,35.124924,-0.605886,-0.029190
6/1/2018 2:00:00 PM,6/1/2018 10:00:00 AM,1,PJM,,,ZONE,,28.621667,28.635822,-0.000862,0.015017,40.040000,39.430766,-0.582539,-0.026695
6/1/2018 3:00:00 PM,6/1/2018 11:00:00 AM,1,PJM,,,ZONE,,38.235000,38.260201,0.006304,0.018897,45.690000,44.933635,-0.727144,-0.029221
6/1/2018 4:00:00 PM,6/1/2018 12:00:00 PM,1,PJM,,,ZONE,,32.835833,32.852297,0.001086,0.015378,53.750000,52.873888,-0.837115,-0.038997
