datetime_beginning_utc,datetime_beginning_ept,area,wind_generation_mw
6/1/2018 4:00:00 AM,6/1/2018 12:00:00 AM,RTO,1531.783
6/1/2018 5:00:00 AM,6/1/2018 1:00:00 AM,RTO,1637.612
6/1/2018 6:00:00 AM,6/1/2018 2:00:00 AM,RTO,1354.959
6/1/2018 7:00:00 AM,6/1/2018 3:00:00 AM,RTO,1222.521
6/1/2018 8:00:00 AM,6/1/2018 4:00:00 AM,RTO,1225.327
6/1/2018 9:00:00 AM,6/1/2018 5:00:00 AM,RTO,1052.518
6/1/2018 10:00:00 AM,6/1/2018 6:00:00 AM,RTO,915.516
6/1/2018 11:00:00 AM,6/1/2018 7:00:00 AM,RTO,790.046
6/1/2018 12:00:00 PM,6/1/2018 8:00:00 AM,RTO,639.919
6/1/2018 1:00:00 PM,6/1/2018 9:00:00 AM,RTO,450.139
6/1/2018 2:00:00 PM,6/1/2018 10:00:00 AM,RTO,267.910
6/1/2018 3:00:00 PM,6/1/2018 11:00:00 AM,RTO,200.577
6/1/2018 4:00:00 PM,6/1/2018 12:00:00 PM,RTO,255.391
6/1/2018 5:00:00 PM,6/1/2018 1:00:00 PM,RTO,409.284
6/1/2018 6:00:00 PM,6/1/2018 2:00:00 PM,RTO,836.217
6/1/2018 7:00:00 PM,6/1/2018 3:00:00 PM,RTO,802.965
6/1/2018 8:00:00 PM,6/1/2018 4:00:00 PM,RTO,1096.859
6/1/2018 9:00:00 PM,6/1/2018 5:00:00 PM,RTO,1446.185
6/1/2018 10:00:00 PM,6/1/2018 6:00:00 PM,RTO,1933.254
6/1/2018 11:00:00 PM,6/1/2018 7:00:00 PM,RTO,2306.712
6/2/2018 12:00:00 AM,6/1/2018 8:00:00 PM,RTO,2298.754
6/2/2018 1:00:00 AM,6/1/2018 9:00:00 PM,RTO,1891.430
6/2/2018 2:00:00 AM,6/1/2018 10:00:00 PM,RTO,1679.969
6/2/2018 3:00:00 AM,6/1/2018 11:00:00 PM,RTO,1958.359
6/2/2018 4:00:00 AM,6/2/2018 12:00:00 AM,RTO,1960.300
6/2/2018 5:00:00 AM,6/2/2018 1:00:00 AM,RTO,1613.695
6/2/2018 6:00:00 AM,6/2/2018 2:00:00 AM,RTO,1453.433
6/2/2018 7:00:00 AM,6/2/2018 3:00:00 AM,RTO,1233.636
6/2/2018 8:00:00 AM,6/2/2018 4:00:00 AM,RTO,1023.512
6/2/2018 9:00:00 AM,6/2/2018 5:00:00 AM,RTO,936.314
6/2/2018 10:00:00 AM,6/2/2018 6:00:00 AM,RTO,959.030
6/2/2018 11:00:00 AM,6/2/2018 7:00:00 AM,RTO,797.965
6/2/2018 12:00:00 PM,6/2/2018 8:00:00 AM,RTO,628.633
6/2/2018 1:00:00 PM,6/2/2018 9:00:00 AM,RTO,522.261
6/2/2018 2:00:00 PM,6/2/2018 10:00:00 AM,RTO,322.809
6/2/2018 3:00:00 PM,6/2/2018 11:00:00 AM,RTO,266.383
6/2/2018 4:00:00 PM,6/2/2018 12:00:00 PM,RTO,386.881
6/2/2018 5:00:00 PM,6/2/2018 1:00:00 PM,RTO,821.901
6/2/2018 6:00:00 PM,6/2/2018 2:00:00 PM,RTO,939.178
6/2/2018 7:00:00 PM,6/2/2018 3:00:00 PM,RTO,779.085
6/2/2018 8:00:00 PM,6/2/2018 4:00:00 PM,RTO,565.546
6/2/2018 9:00:00 PM,6/2/2018 5:00:00 PM,RTO,602.095
6/2/2018 10:00:00 PM,6/2/2018 6:00:00 PM,RTO,514.907
6/2/2018 11:00:00 PM,6/2/2018 7:00:00 PM,RTO,661.700
6/3/2018 12:00:00 AM,6/2/2018 8:00:00 PM,RTO,640.422
6/3/2018 1:00:00 AM,6/2/2018 9:00:00 PM,RTO,697.469
6/3/2018 2:00:00 AM,6/2/2018 10:00:00 PM,RTO,720.824
6/3/2018 3:00:00 AM,6/2/2018 11:00:00 PM,RTO,658.267
6/3/2018 4:00:00 AM,6/3/2018 12:00:00 AM,RTO,1025.314
6/3/2018 5:00:00 AM,6/3/2018 1:00:00 AM,RTO,1481.630
6/3/2018 6:00:00 AM,6/3/2018 2:00:00 AM,RTO,2023.441
6/3/2018 7:00:00 AM,6/3/2018 3:00:00 AM,RTO,2506.681
6/3/2018 8:00:00 AM,6/3/2018 4:00:00 AM,RTO,3192.537
6/3/2018 9:00:00 AM,6/3/2018 5:00:00 AM,RTO,3542.193
6/3/2018 10:00:00 AM,6/3/2018 6:00:00 AM,RTO,3582.961
6/3/2018 11:00:00 AM,6/3/2018 7:00:00 AM,RTO,3354.488
6/3/2018 12:00:00 PM,6/3/2018 8:00:00 AM,RTO,3126.909
6/3/2018 1:00:00 PM,6/3/2018 9:00:00 AM,RTO,3333.920
6/3/2018 2:00:00 PM,6/3/2018 10:00:00 AM,RTO,3733.236
6/3/2018 3:00:00 PM,6/3/2018 11:00:00 AM,RTO,3908.460
6/3/2018 4:00:00 PM,6/3/2018 12:00:00 PM,RTO,4406.506
6/3/2018 5:00:00 PM,6/3/2018 1:00:00 PM,RTO,4273.590
6/3/2018 6:00:00 PM,6/3/2018 2:00:00 PM,RTO,5110.393
6/3/2018 7:00:00 PM,6/3/2018 3:00:00 PM,RTO,5437.467
6/3/2018 8:00:00 PM,6/3/2018 4:00:00 PM,RTO,5259.588
6/3/2018 9:00:00 PM,6/3/2018 5:00:00 PM,RTO,5390.264
6/3/2018 10:00:00 PM,6/3/2018 6:00:00 PM,RTO,5304.819
6/3/2018 11:00:00 PM,6/3/2018 7:00:00 PM,RTO,5025.262
6/4/2018 12:00:00 AM,6/3/2018 8:00:00 PM,RTO,4646.565
6/4/2018 1:00:00 AM,6/3/2018 9:00:00 PM,RTO,3758.580
6/4/2018 2:00:00 AM,6/3/2018 10:00:00 PM,RTO,2934.451
6/4/2018 3:00:00 AM,6/3/2018 11:00:00 PM,RTO,2575.234
6/4/2018 4:00:00 AM,6/4/2018 12:00:00 AM,RTO,2172.260
6/4/2018 5:00:00 AM,6/4/2018 1:00:00 AM,RTO,1982.072
6/4/2018 6:00:00 AM,6/4/2018 2:00:00 AM,RTO,2080.223
6/4/2018 7:00:00 AM,6/4/2018 3:00:00 AM,RTO,2017.195
6/4/2018 8:00:00 AM,6/4/2018 4:00:00 AM,RTO,2063.100
6/4/2018 9:00:00 AM,6/4/2018 5:00:00 AM,RTO,1645.109
6/4/2018 10:00:00 AM,6/4/2018 6:00:00 AM,RTO,1427.667
6/4/2018 11:00:00 AM,6/4/2018 7:00:00 AM,RTO,1352.468
6/4/2018 12:00:00 PM,6/4/2018 8:00:00 AM,RTO,1513.752
6/4/2018 1:00:00 PM,6/4/2018 9:00:00 AM,RTO,1794.546
6/4/2018 2:00:00 PM,6/4/2018 10:00:00 AM,RTO,2211.882
6/4/2018 3:00:00 PM,6/4/2018 11:00:00 AM,RTO,2336.987
6/4/2018 4:00:00 PM,6/4/2018 12:00:00 PM,RTO,2430.294
6/4/2018 5:00:00 PM,6/4/2018 1:00:00 PM,RTO,2546.905
6/4/2018 6:00:00 PM,6/4/2018 2:00:00 PM,RTO,2704.116
6/4/2018 7:00:00 PM,6/4/2018 3:00:00 PM,RTO,2856.785
6/4/2018 8:00:00 PM,6/4/2018 4:00:00 PM,RTO,2929.124
6/4/2018 9:00:00 PM,6/4/2018 5:00:00 PM,RTO,2881.671
6/4/2018 10:00:00 PM,6/4/2018 6:00:00 PM,RTO,2686.937
6/4/2018 11:00:00 PM,6/4/2018 7:00:00 PM,RTO,2206.696
6/5/2018 12:00:00 AM,6/4/2018 8:00:00 PM,RTO,1602.075
