datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
6/1/2018 4:00:00 AM,6/1/2018 12:00:00 AM,RTO,RTO,RTO,RTO,85824.931,False
6/1/2018 5:00:00 AM,6/1/2018 1:00:00 AM,RTO,RTO,RTO,RTO,80611.968,False
6/1/2018 6:00:00 AM,6/1/2018 2:00:00 AM,RTO,RTO,RTO,RTO,77403.692,False
6/1/2018 7:00:00 AM,6/1/2018 3:00:00 AM,RTO,RTO,RTO,RTO,75483.798,False
6/1/2018 8:00:00 AM,6/1/2018 4:00:00 AM,RTO,RTO,RTO,RTO,75596.412,False
6/1/2018 9:00:00 AM,6/1/2018 5:00:00 AM,RTO,RTO,RTO,RTO,78998.130,False
6/1/2018 10:00:00 AM,6/1/2018 6:00:00 AM,RTO,RTO,RTO,RTO,84792.422,False
6/1/2018 11:00:00 AM,6/1/2018 7:00:00 AM,RTO,RTO,RTO,RTO,91041.618,False
6/1/2018 12:00:00 PM,6/1/2018 8:00:00 AM,RTO,RTO,RTO,RTO,96180.080,False
6/1/2018 1:00:00 PM,6/1/2018 9:00:00 AM,RTO,RTO,RTO,RTO,99980.671,False
6/1/2018 2:00:00 PM,6/1/2018 10:00:00 AM,RTO,RTO,RTO,RTO,103503.398,False
6/1/2018 3:00:00 PM,6/1/2018 11:00:00 AM,RTO,RTO,RTO,RTO,106593.937,False
6/1/2018 4:00:00 PM,6/1/2018 12:00:00 PM,RTO,RTO,RTO,RTO,109855.889,False
6/1/2018 5:00:00 PM,6/1/2018 1:00:00 PM,RTO,RTO,RTO,RTO,113033.653,False
6/1/2018 6:00:00 PM,6/1/2018 2:00:00 PM,RTO,RTO,RTO,RTO,115890.227,False
6/1/2018 7:00:00 PM,6/1/2018 3:00:00 PM,RTO,RTO,RTO,RTO,117901.311,False
6/1/2018 8:00:00 PM,6/1/2018 4:00:00 PM,RTO,RTO,RTO,RTO,119507.746,False
6/1/2018 9:00:00 PM,6/1/2018 5:00:00 PM,RTO,RTO,RTO,RTO,119311.341,False
6/1/2018 10:00:00 PM,6/1/2018 6:00:00 PM,RTO,RTO,RTO,RTO,116536.751,False
6/1/2018 11:00:00 PM,6/1/2018 7:00:00 PM,RTO,RTO,RTO,RTO,112185.981,False
6/2/2018 12:00:00 AM,6/1/2018 8:00:00 PM,RTO,RTO,RTO,RTO,108441.332,False
6/2/2018 1:00:00 AM,6/1/2018 9:00:00 PM,RTO,RTO,RTO,RTO,105405.976,False
6/2/2018 2:00:00 AM,6/1/2018 10:00:00 PM,RTO,RTO,RTO,RTO,98677.945,False
6/2/2018 3:00:00 AM,6/1/2018 11:00:00 PM,RTO,RTO,RTO,RTO,90750.915,False
6/2/2018 4:00:00 AM,6/2/2018 12:00:00 AM,RTO,RTO,RTO,RTO,83335.710,False
6/2/2018 5:00:00 AM,6/2/2018 1:00:00 AM,RTO,RTO,RTO,RTO,78355.578,False
6/2/2018 6:00:00 AM,6/2/2018 2:00:00 AM,RTO,RTO,RTO,RTO,74881.517,False
6/2/2018 7:00:00 AM,6/2/2018 3:00:00 AM,RTO,RTO,RTO,RTO,72511.285,False
6/2/2018 8:00:00 AM,6/2/2018 4:00:00 AM,RTO,RTO,RTO,RTO,71513.085,False
6/2/2018 9:00:00 AM,6/2/2018 5:00:00 AM,RTO,RTO,RTO,RTO,71832.513,False
6/2/2018 10:00:00 AM,6/2/2018 6:00:00 AM,RTO,RTO,RTO,RTO,72758.228,False
6/2/2018 11:00:00 AM,6/2/2018 7:00:00 AM,RTO,RTO,RTO,RTO,76552.924,False
